City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Itaberaba,BR,-12.5275,-40.3069,68.56,82,11,4.94,few clouds
309,Kloulklubed,PW,7.0419,134.2556,81.1,68,91,5.1,overcast clouds
310,Dingle,PH,10.9995,122.6711,79.88,85,81,1.74,broken clouds
311,Sayansk,RU,54.1088,102.1648,41.81,95,100,8.41,light rain
312,Bubaque,GW,11.2833,-15.8333,78.12,84,100,17.63,light rain
313,Sibolga,ID,1.7427,98.7792,76.53,86,98,3.04,overcast clouds
314,Along,IN,28.1667,94.7667,74.12,98,93,0.58,overcast clouds
315,Fenoarivo,MG,-18.933,47.4354,54.3,85,44,5.61,scattered clouds
316,Hasaki,JP,35.7333,140.8333,73.29,74,100,7.72,light rain
317,Port Macquarie,AU,-31.4333,152.9167,54.9,66,1,2.95,clear sky
318,Alofi,NU,-19.0595,-169.9187,80.49,69,75,12.66,broken clouds
319,Beringovskiy,RU,63.05,179.3167,50.13,63,13,5.5,few clouds
320,Bafia,CM,4.75,11.2333,69.48,98,65,1.39,broken clouds
321,Auki,SB,-8.7676,160.7034,83.57,70,18,4.18,few clouds
322,Marsa Matruh,EG,31.3525,27.2453,70.93,65,0,9.73,clear sky
323,Visnes,NO,59.3556,5.2242,52.57,76,75,6.91,light rain
324,Kavieng,PG,-2.5744,150.7967,83.35,73,48,11.88,light rain
325,Trinidad,BO,-14.8333,-64.9,78.78,78,40,0.0,scattered clouds
326,Yellandu,IN,17.6,80.3333,77.43,80,100,8.37,overcast clouds
327,Chimbote,PE,-9.0853,-78.5783,67.86,81,57,9.06,broken clouds
328,Luganville,VU,-15.5333,167.1667,81.86,78,68,8.19,broken clouds
329,Ostroh,UA,50.3294,26.5143,55.98,91,74,6.8,broken clouds
330,Kununurra,AU,-15.7667,128.7333,62.58,82,24,0.0,few clouds
331,Praia,CV,14.9215,-23.5087,75.74,78,75,11.5,broken clouds
332,Valparaiso,CL,-33.0393,-71.6273,58.64,73,75,9.22,broken clouds
333,Isperih,BG,43.7167,26.8333,59.99,97,100,13.11,overcast clouds
334,Dalbandin,PK,28.8947,64.4101,80.42,11,0,4.32,clear sky
335,Jacareacanga,BR,-6.2222,-57.7528,78.19,77,83,3.62,heavy intensity rain
336,Balgazyn,RU,51.0,95.2,47.73,58,81,2.37,broken clouds
337,Narsaq,GL,60.9167,-46.05,46.62,85,74,5.64,broken clouds
338,Santa Fe,AR,-31.6333,-60.7,51.03,61,27,3.0,scattered clouds
339,Adolfo Lopez Mateos,MX,28.4667,-107.3,82.92,20,57,18.25,broken clouds
340,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,91,65,5.21,broken clouds
